name,product_title,product_url,rating,review_long,review_short
Alyssa Bowers,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Love the new Nintendo switch came quick with no damage and runs great,Nintendo Switch
fd5,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"I chose to have some fun while at home, now that the kids are all grown and I have some time.  I chose Nintendo because it had a lot more non-violent/non-violent games than Ps4 - (love love Yonder, trying Zelda next). I bought the Switch.  It's FUN!  Super easy to hook up and get started. It's portable, it takes up very little space, it can be handheld like a tablet, it can be used for actual workouts!!, it can hook up to the tv and be multi-functional there too. It's easily adaptive to solo or multi-players in ways I have yet to explore. -  I am loving Yonder, will try Zelda next. Great fun!",Newbie gamer - bought a switch!  Perfect for this ol person!
Amazon Customer,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,3.0 out of 5 stars,"So, the switch is just about perfect. Only problem: it doesn’t want to connect to any dock. I’ve tried repeatedly and done extensive research, but to no avail. Other than that issue, everything else is nice. The package came unsealed and looked like it had been opened before, which isn’t what I paid $400+ dollars for. But everything looked well enough that I let it go. If I was really desperate for the dock connectivity, this would have been a no-go, and it would have immediately went back. Luckily, I can live without out it. Just be weary of buying a switch on amazon. 7/10 it’s done right, but that other 3 you’ll get an switch that is a dud in one way or another.",Doesn’t connect to dock.
daisy,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,The Nintendo stopped working 3 weeks after we got it. It will not charge at all. Not only did it stop working but it was nearly 500 dollars not worth it.,Stopped working 3 weeks after
Ashley Dunn,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"Exactly what I wanted, though overpriced. Has excellent battery life, came with all the accessories mentioned, and shipping was quick. This is a legit Nintendo Switch but priced to market value instead of actual value. My husband was very happy to receive this and has had no issues with the function of the device.",Real Nintendo Switch but Overpriced
RositaMomof6!,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,It came quick and at a great price tbh. Most people are saying it is expensive but they need to understand that this product is having a shortage and may be discontinued. It has a high demand right now and I am glad I could find one. Sold out at all GameStop’s and other stores. It was my daughter’s birthday gift and she loved it. Some people are charging 500+. Thank you so much for having this product at a great price and not over abusing the market.,Great price and product!
Pfin8,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"Aside from the price markup, all is good and it arrived as expected and everything seems complete. I was pleased that it was the (newer) red box Switch, and not the box pictured in the ad with the hand holding the grey box (older version). I got tired of checking Best But daily to only see everything sold out. My husband was happy and didn’t ask how much I paid!",New red box Switch!
Diamond 🖤,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Easy set up 😍 my niece loves it,Awesome
Amazon Customer,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Do not buy from this seller. Brought Nintendo switch and card reader stopped working after first time. I returned it now I’m fighting to get a refund!,Don’t do it!
Patrick Braddock,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Probably someone else's return.  Disappointing.,"unsealed box, didn't work"
Jennifer slavin,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,4.0 out of 5 stars,did not come with an extra 32 sd card so false advertising.  Its against the law to false advertise.  Because only reason i bought this one was because extra sd card.  other wise would have ordered another one.  I paid and extra 15 dollars to get it.  I'm not to happy.  was a pleasant for adoption day and had games to download and not enough space for last game because no extra card.  false advertising is against the law so fix or send the sd card.,not as discriped
Adrian Valdespino,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,4.0 out of 5 stars,"Llego antes dd tiempo,hasta hora funciona perfectamente llevo 2 semanas con el despues veremos si le subo la 5 estrella",Buena calidad
Rebeca Mosqueda,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"The Nintendo Switch! You know it's good it's pretty expensive at the time but that doesn't matter. What matters is that this is Nintendo's best console for this generation and if you're stuck at home bored then play this. It has great games like Smash Ultimate, Breath of the Wild & Animal Crossing New Horizons you can even watch YouTube on here! Honestly Nintendo did an excellent job at making this console despite it being expensive right now. Definitely my 2nd favorite console and would pick this up. Although it is sold out at a lot of places look over here and if it's really desired or you just want a switch cuz well it's a switch would 100% recommend this.",It's a little expensive at the time but still great console
Jesse Johnson,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,I bought this during the pandemic as a birthday gift for my 11 year old son. He wanted this game so much I paid more than double what it is worth but he was so happy he cried when we gave it to him. So for me it was worth it. It came new just as described. Came with memory card and works great. Thank u.,Worth it to me.
Jessica Marie,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,We love it! Lots of fun. I prefer hooking it up to the TV because I like a bigger screen but its also great for long car rides. I recommend getting a glass screen protector for it.,Love it
Cullen Kiker Scism,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,2.0 out of 5 stars,Price gouged so people who truly want one can get one at a cost. Arrived in great condition and as advertised.,price gouge
Christian,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Price gouged and did not come with SD card as advertised...,Don’t get what you pay for
sofia ostapenko,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,4.0 out of 5 stars,The product came MUCH faster than expected by almost a week. Product came in perfect condition. No parts were damaged or non functional. I set everything up in a matter of minutes and everything is great so far. My only concern is that the product is INSANELY expensive. Should’ve at LEAST come with some accessories for this price point,Great product but overly pricy
